ID,Category,Link,Organisation
People in Prison 2017 table 2,state prison data,https://www.vera.org/downloads/publications/people-in-prison-2017.pdf,Vera Institute of Justice 
Prisoners in 2016 table 13,State prison data,https://www.bjs.gov/content/pub/pdf/p16.pdf,Bureau of Justice Statistics
Jail Inmates in 2016 table 3,Jail prison data,https://www.bjs.gov/content/pub/pdf/ji16.pdf,Bureau of Justice Statistics
Survey for Offenses,Jail prison data,https://www.bjs.gov/content/pub/pdf/quest_archive/siljq02.pdf,Bureau of Justice Statistics
Prisoners in 2016 table 15,Federal data ,https://www.bjs.gov/content/pub/pdf/p16.pdf,Bureau of Justice Statistics
Jail Inmates in 2016 appendix table 1,Youth data,https://www.bjs.gov/content/pub/pdf/ji16.pdf,Bureau of Justice Statistics
Jail Inmates in Indian Country appendix table 4,Youth data,https://www.bjs.gov/content/pub/pdf/jic16.pdf,Bureau of Justice Statistics
Prisoners in 2016 table 20,Territorial Prisons Data,https://www.bjs.gov/content/pub/pdf/p16.pdf,Bureau of Justice Statistics
Prisoners in 2016 table 18,Military Data,https://www.bjs.gov/content/pub/pdf/p16.pdf,Bureau of Justice Statistics
Prisoners in 2016 table 19,Military Data,https://www.bjs.gov/content/pub/pdf/p16.pdf,Bureau of Justice Statistics
Jail Inmates in Indian Country table 1,Indian Country Data,https://www.bjs.gov/content/pub/pdf/jic16.pdf,Bureau of Justice Statistics
Corrections Population table1,Probation and Parole,https://www.bjs.gov/content/pub/pdf/cpus16.pdf,Bureau of Justice Statistics
Corrections Population table 5,Probation and Parole,https://www.bjs.gov/content/pub/pdf/cpus16.pdf,Bureau of Justice Statistics
Corrections Population  appendix table 1,Probation and Parole,https://www.bjs.gov/content/pub/pdf/cpus16.pdf,Bureau of Justice Statistics
Corrections Population  appendix table 3,Private Facilities Data,https://www.bjs.gov/content/pub/pdf/cpus16.pdf,Bureau of Justice Statistics
"Prisoner Count, Jan 2019",Jail prison data,https://www.bop.gov/about/statistics/population_statistics.jsp,Bureau of Prisons
"Prisoner Count, 2017",Involuntary commitment: Civil detention and commitment data,https://www.bop.gov/about/statistics/population_statistics.jsp,Bureau of Prisons
Marshals Fact Sheet 2018,Federal data ,https://www.usmarshals.gov/duties/factsheets/prisoner_ops.pdf,US Marshals
Prisoner Operations Fact Sheet 2018,Private Facilities Data,https://www.usmarshals.gov/duties/factsheets/prisoner_ops.pdf,US Marshals
"US Marshals, FOIO response ",Federal data ,https://www.prisonpolicy.org/scans/USMS_FOIA_response_2018.pdf,"Department of justice, US Marshals"
"Juvenile Residential Facility Census Databook (JRFCDB) October 26, 2016",Youth data,https://www.ojjdp.gov/ojstatbb/jrfcdb/,Office of Juvenile Justice and Delinquency Prevention
Easy Access to the Census of Juveniles in Residential Placement (EZACJRP),Youth data,https://www.ojjdp.gov/ojstatbb/ezacjrp/,Office of Juvenile Justice and Delinquency Prevention
Children in Resettlement Custody,Immigration detention data,https://www.acf.hhs.gov/orr/resource/unaccompanied-alien-children-frequently-asked-questions,Office of Refugee Resettlement 
Report of the Subcommittee on Privatized Immigration Detention Facilities,Immigration detention data,https://www.dhs.gov/sites/default/files/publications/DHS%20HSAC%20PIDF%20Final%20Report.pdf,Department of Homeland Security 
Division-by-Division conference summary p. 2,Immigration detention data,https://appropriations.house.gov/sites/democrats.appropriations.house.gov/files/documents/Summary%20of%20Conference%20Report.pdf,House of representatives
"NRI report, August 2017 p92,99,104",Involuntary commitment: State-psychiatric data,https://www.nri-inc.org/media/1318/tac-paper-9-forensic-patients-in-state-hospitals-final-09-05-2017.pdf,"National Association of State Mental Health Program Directors 
"
Annual  Survey 2018,Involuntary commitment: Civil detention and commitment data,https://soccpn.org, Sex Offender Civil Commitment Programs Network 
Tara Tidwell Cullen Research,Private Facilities Data,https://immigrantjustice.org/staff/blog/ice-released-its-most-comprehensive-immigration-detention-data-yet,National Immigrant Justice Center
"Survey of Inmates in Local Jails, 2002",Jail Prison Data,https://www.bjs.gov/index.cfm?ty=dcdetail&iid=274,Bureau of Justice Statistics
Census of Jails 2013,Private Facilities Data,https://www.icpsr.umich.edu/web/NACJD/studies/36128,Bureau of Justice Statistics
"Profile of Jail Inmates, 2002",Unconvicted Prisoners,https://www.bjs.gov/content/pub/pdf/pji02.pdf,Bureau of Justice Statistics